"language"	"langcode"	"family"	"location"	"core inventory"	"marginal inventory"	"reference"
"Malayalam"	"MALY"	"DRAVIDIAN"	"India"	"pʰ,t̪ʰ,ʈʰ,tʃʰ,kʰ,p,t̪,t,ʈ,tʃ,k,bʰ,d̪ʰ,ɖʰ,dʒʰ,ɡʰ,i,iː,u,uː,b,d̪,ɖ,dʒ,ɡ,ə,s,ʂ,ʃ,h,e,eː,o,oː,m,n̪,n,ɳ,ɲ,ŋ,a,aː,ɾ,r,l,ɭ,ʐ,v,j,"		"Asher, R.E. and T.C. Kumari (1997) Malayalam. New York: Routledge"
"Maltese"	"MALT"	"AFRO-ASIATIC (Semitic)"	"Malta"	"p,t,k,ʔ,b,d,ɡ,uː,ts,tʃ,ɪː,ʊː,dʒ,ɪ,ʊ,f,s,ʃ,h,ɛː,ɔː,v,z,ɛ,ɔ,m,n,ɐː,l,ɐ,ɹ,w,j,"	"dz,"	"Borg, Albert, and Marie Azzopardi-Alexander (1997) Maltese. New York: Routledge."
"Mam (Northern Mam)"	"MAMN"	"MAYAN"	"Guatemala"	"p,t,kʲ,k,ʔ,tʼ,kʼʲ,kʼ,ɪ,ʊ,ɛ,ɔ,ɓ,ɠ̥,a,ts,tʃ,ʈʂ,qχ,tsʼ,tʃʼ,ʈʂʼ,iː,uː,s,ʃ,ʂ,x,eː,oː,m,n,a̝ː,ɾ,w,l,j,"	"b,d,ɡ,"	"England, Nora C. (1983) A Grammar of Mam, a Mayan Language. Austin: University of Texas Press."
"Mandan"	"MNDA"	"SIOUAN"	"USA"	"p,t,k,ʔ,i,u,iː,uː,ĩ,ũ,s,ʃ,x,e,o,eː,oː,w,r,h,æ,a,æː,aː,ã,"	"tʃ,"	"Mixco, Maurice (1997) Mandan. Muenchen: Lincom Europa."
"Mandarin"	"MNDR"	"SINO-TIBETAN"	"China, Taiwan, Indonesia, Malaysia, Singapore, etc."	"pʰ,tʰ,tsʰ,ʈʂʰ,cɕ,kʰ,p,t,ts,ʈʂ,cɕʰ,k,i,y,u,f,s,ʂ,ɕ,χ,e,o,m,n,ŋ,a,l,ɹ,w,"		"Bodman, Nicholas C., and Hugh M. Stimson (1961) Mandarin Chinese: units 1-6. Washington: Center for Applied Linguistics of the Modern Language Association of America.\nChao, Yuen Ren (1968) A grammar of spoken Chinese. Berkeley: University of California Press. "
"Mandikakan (Mandinka) (Pakawu dialect)"	"PAKA"	"NIGER-CONGO"	"Senegal"	"p,t,tʃ,k,iː,uː,b,d,dʒ,eː,ɔː,f,s,h,aː,m,n,ɲ,ŋ,l,i,u,r,e,ɔ,j,w,a,"		"Ngom, Fallou (2000) Phonetic and Phonological Description of Mandinkakan Phonemes as spoken in Kajor (Ziguinchor). Muenchen: Lincom Europa."
"Mandinkakan (Mandinka) (Guinea Bissau dialect)"	"GUIN"	"NIGER-CONGO"	"Guinea Bissau"	"t,tʃ,k,ĩ,ũ,iː,uː,b,d,dʒ,ẽ,ɔ̃,eː,ɔː,f,s,h,ã,aː,m,n,ɲ,ŋ,l,i,u,r,e,ɔ,j,w,a,"		"Ngom, Fallou (2000) Phonetic and Phonological Description of Mandinkakan Phonemes as spoken in Kajor (Ziguinchor). Muenchen: Lincom Europa."
"Mangap-Mbula"	"MANG"	"AUSTRONESIAN"	"Papua New Guinea"	"p,t̪,k,b,d̪,ɡ,b,ⁿd̪,ɡ,i,u,s,e,o,z,a,m,n̪,ŋ,l,r,w,j,"		"Bugenhagen, Robert D. (1995) A Grammar of Mangap-Mbula: An Austronesian Language of Papua New Guinea. Canberra: Pacific Linguistics."
"Manipuri"	"MANI"	"SINO-TIBETAN"	"India, Bangladesh"	"pʰ,tʰ,kʰ,p,t,c,k,b,d,ɟ,ɡ,i,ə,u,s,h,e,a,o,m,n,ŋ,l,r,w,j,"		"Bhat, D. N. S., and M. S. Ningomba (1997) Manipuri Grammar. Newcastle: Lincom Europa."
"Maori"	"MAOR"	"AUSTRONESIAN"	"New Zealand"	"p,t,k,f,h,i,u,m,n,ŋ,e,o,ɾ,a,w,"		"Harlow, Ray (1996) Māori. Muenchen: Lincom Europa."
"Marathi (Cochin)"	"MARC"	"INDO-EUROPEAN (Indo-Aryan)"	"India"	"pʰ,tʰ,ʈʰ,kʰ,p,t,ʈ,tʃ,k,i,iː,u,uː,bʰ,dʰ,ɖʰ,dʒʰ,ɡʰ,e,eː,o,oː,b,d,ɖ,dʒ,ɡ,ə,əː,s,ʂ,ʃ,h,ɛ,ɛː,ɔ,ɔː,mʰ,nʰ,a,aː,m,n,ɳ,ŋ,vʰ,lʰ,jʰ,v,l,ɭ,j,"		"Ghatage, A. M. (1971) Marathi Dialect Texts I: Dialect of Cochin. Poona: Deccan College."
"Marathi (Kosti)"	"MARK"	"INDO-EUROPEAN (Indo-Aryan)"	"India"	"pʰ,t̪ʰ,ʈʰ,tʃʰ,kʰ,p,t̪,ʈ,tʃ,k,i,u,bʰ,d̪ʰ,ɖʰ,dʒʰ,ɡʰ,e,ə,o,b,d̪,ɖ,dʒ,ɡ,a,s̪,ʃ,x,mʰ,nʰ,m,n,ɳ,ŋ,rʰ,r,lʰ,v,l,j,"		"Jha, Aparna (1980) Kosti – A Dialect of Marathi. Pune: Deccan College Post-Graduate & Research Institute."
"Margi (Marghi Central)"	"MARG"	"AFRO-ASIATIC (Chadic)"	"Nigeria"	"p,pʷ,t,tʷ,p͡t,c,k,kʷ,ʔ,b,bʷ,d,b͡d,ɟ,ɡ,ɡʷ,ts,p͡ts,tʃ,b͡tʃ,dz,b͡dz,dʒ,b͡dʒ,ɓ,ɓʷ,ɗ,b͡ɗ,p,ⁿt,t,c,k,b,ⁿd,d,ɡ,ɡ,ⁿts,ts,ⁿtʃ,tʃ,ⁿdz,dz,ⁿdʒ,dʒ,f,fʷ,s,sʷ,ps,ʃ,ʃ,ç,b͡ç,x,xʷ,v,z,bz,ʒ,ʝ,b͡ʝ,ɣ,ɣʷ,ɬ,ɬʷ,ɬ,ɮ,bɮ,m,mʷ,n,ɲ,ɲ,ŋ,ŋʷ,l,i,u,vɾ,r,e,ə,o,w,ʔw,j,ʔj,a,"		"Hoffmann, Carl (1963) A Grammar of the Margi Language. London: Oxford University Press."
"Marshallese"	"MARS"	"AUSTRONESIAN"	"Marshall Islands"	"p,t̪,k,kʷ,tʲ,bʷ,mʲ,n̪,ɳ,ŋ,i,mʷ,ɳʷ,ŋʷ,e,l̪,a,lˠ,lˠʷ,r̪,r,rʷ,w,j,h,"		"Bender, Byron W. (1969) Spoken Marshallese. Honolulu: University of Hawaii Press."
"Martuthunira"	"MART"	"AUSTRALIAN (Pama-Nyungan)"	"Australia"	"p,t̪,t,ʈ,c,k,iː,uː,m,n̪,n,ɳ,ɲ,ŋ,i,u,l̪,l,ɭ,ʎ,aː,r,a,w,ɻ,j,"		"Dench, Alan Charles (1995) Martuthunira: A Language of the Pilbara Region of Western Australia. Canberra: Pacific Linguistics."
"Marwari (Shekhawati dialect)"	"SHEK"	"INDO-EUROPEAN (Indo-Aryan)"	"India"	"pʰ,t̪ʰ,ʈʰ,cʰ,kʰ,p,t̪,ʈ,c,k,ĩː,ũː,bʰ,d̪ʰ,ɖʰ,ɟʰ,ɡʰ,iː,uː,b,d̪,ɖ,ɟ,ɡ,ɪ̃,ʊ̃,s̪,h,ɪ,ʊ,m,n̪,ɳ,ẽː,ə̃,õː,l̪,ɭ,eː,ə,oː,r̪,ɛ̃ː,ãː,ɔ̃ː,ɽ,ɛː,aː,ɔː,w,j,"		"Gusain, Lakhan (2001) Shekhawati. Muenchen: Lincom Europa."
"Masalit"	"MASA"	"NILO-SAHARAN"	"Sudan and Chad"	"t,c,k,b,d,ɡ,i,ɨ,u,f,s,ʃ,h,e,ɜ,ʌ,o,ʒ,ɛ,ɔ,m,n,ɲ,ŋ,a,l,r,j,w,"	"p,ʔ,ǀs,ǂ,x,v,z,ɥ,"	"Edgar, John (1989) A Masalit Grammar. Berlin: Dietrich Reimer Verlag."
"Maya (Yucatan)"	"MAYA"	"MAYAN"	"Mexico"	"p,t,k,pʼ,tʼ,kʼ,ʔ,i,u,ɓ,e,o,ts,tʃ,a,tsʼ,tʃʼ,s,ʃ,h,m,n,ɲ,l,r,j,w,"	"ɗ,ɠ,f,x,ɾ,"	"Straight, H. Stephen (1976) Acquisition of Maya Phonology. New York: Garland Publishing, Inc."
"Maya, Chontal (Tabasco Chontal)"	"CHON"	"MAYAN"	"Mexico"	"p,t̪,k,ʔ,pʼ,t̪ʼ,kʼ,i,u,b,d̪,ɡ,ɨ̞,ts,tʃ,e,o,tsʼ,tʃʼ,a,ɸ,s,ç,h,m,n̪,ɲ,l,ɾ,r,j,w,"		"Knowles, Susan Marie (1984) A Descriptive Grammar of Chontal Maya (San Carlos Dialect). Ann Arbor: UMI."
"Maya, Itzaj (Itzá)"	"ITZA"	"MAYAN"	"Guatemala"	"p,t̪,k,pʼ,t̪ʼ,kʼ,i,u,ɓ,ɨ̞,t̪s̪,tʃ,e,o,t̪s̪ʼ,tʃʼ,a,s,ʃ,h,m,n̪,iː,uː,l̪,eː,oː,r,aː,w,j,"	"ɗ̪,ɠ,f,"	"Hofling, Charles Andrew (2000) Itzaj Maya Grammar. Salt Lake City: University of Utah Press."
"Mbili"	"MBIL"	"NIGER-CONGO (Bantu)"	"Cameroon"	"t,tː,k,kː,ʔ,b,d,ɡ,iː,uː,pf,ts,tʃ,tːʃ,i,ɨ,u,bv,dz,dʒ,dːʒ,eː,f,fː,s,ʃ,x,h,e,β,v,z,ʒ,ɣ,ɣ̀,ɛː,əː,ɔː,m,mː,n,nː,ŋ,ɛ,ə,ɔ,l,lː,aː,w,ɥ,j,a,"		"Ayuninjam, Funwi F. (1998) A Reference Grammar of Mbili. Lanham: University Press of America, Inc."
"Melanesian Pidgin English (Tok Pisin)"	"MEPE"	"CREOLE"	"Papua New Guinea"	"p,t,tʃ,k,b,d,dʒ,ɡ,i,u,f,s,ʃ,ɪ,ʊ,v,e,o,m,n,ɲ,ɛ,ə,ɔ,r,æ,ɑ,l,h,"		"Hall, Rober A. Jr. (1943) Melanesian Pidgin English: Grammar, Texts, Vocabulary. Baltimore: Waverly Press, Inc."
"Melayu Betawi"	"MELB"	"CREOLE"	"Indonesia"	"p,t,tʃ,k,ʔ,b,d,dʒ,ɡ,ʃ,i,u,m,n,ɲ,ŋ,e,o,r,ə,l,a,w,j,h,"		"Ikranagara, Kay (1975) Melayu Betawi Grammar. Ann Arbor: UMI."
"Mende"	"MEND"	"NIGER-CONGO"	"Sierra Leone"	"p,t,k,k͡p,b,d,ɡ,ɡ͡b,i,u,b,ⁿd,ⁿʒ,ɡ,ɡ͡b,e,o,f,s,ɛ,ɔ,v,ʒ,ɦ,a,m,n,ɲ,ŋ,l,j,w,"		"Sengova, Matthew Joko (1984) Tense, Aspect, and Time Specification in the Verb System of Mende. Ann Arbor: UMI."
"Menomini"	"MENO"	"ALGIC"	"USA"	"p,t,tʃ,k,ʔ,i,u,iː,uː,s,h,e,o,eː,oː,m,n,æ,a,æː,aː,w,j,"		"Miner, Kenneth Lee (1975) Interference Relations in Menomini Phenology. Ann Arbor: UMI."
"Meriam (Mer)"	"MERI"	"TRANS-NEW GUINEA"	"Australia"	"p,t,k,b,d,ɡ,s,i,u,z,e,o,m,n,a,r,w,j,"		"Holmer, Nils M. (1988) Notes on Some Queensland Languages. Canberra: Pacific Linguistics."
"Mikasuki"	"MIKA"	"MUSKOGEAN"	"USA"	"p,t,tʃ,k,ĩː,õː,iː,oː,b,ĩ,õ,i,o,f,ʃ,ãː,aː,ɬ,ã,a,m,n,w,l,j,h,"		"Boynton, Sylvia S. (1982) Mikasuki Grammar in Outline. Ann Arbor: UMI."
"Mikir"	"MIKI"	"SINO-TIBETAN"	"India"	"pʰ,tʰ,kʰ,p,t,k,ʔ,bʰ,dʰ,ɡʰ,b,d,ɡ,i,u,tsʰ,e,o,ts,a,dz,h,m,n,ŋ,l,r,v,j,"		"Jeyapaul, V. Y. (1987) Karbi Grammar. Mysore: Central Institute of Indian Languages."
"Miogliola Ligurian"	"MIOG"	"INDO-EUROPEAN (Italic)"	"Italy, Monaco"	"p,t,k,b,d,ɡ,iː,yː,uː,ts,tʃ,i,y,u,dz,dʒ,eː,øː,oː,f,s,ʃ,e,ø,o,v,z,ʒ,æː,ɑː,ɔː,m,n,ɲ,ŋ,æ,ɑ,l,ʎ,ɾ,"		"Ghini, Mirco (2001) Asymmetries in the Phonology of Miogliola. New York: Mouton de Gruyter."
"Mishmi"	"MISH"	"SINO-TIBETAN"	"India"	"p,t,k,b,d,ɡ,i,ɨ,u,tʃ,e,o,dʒ,a,s,h,z,m,n,ŋ,ẽ,õ,l,ã,r,w,j,"		"Sastry, G. Devi Prasada (1984) Mishmi Grammar. Mysore: Central Institute of Indian Languages."
"Mising"	"MISI"	"SINO-TIBETAN"	"India"	"p,t,k,b,d,ɡ,ts,i,ɨ˞,u,z,ə˞,m,n,ɲ,ŋ,e,a,ɔ,r,l,au,ɔi,w,j,"		"Prasad, Bal Ram (1991) Mising Grammar. Mysore: Central Institute of Indian Languages."
"Mixe, Lowland (Coatlán variety)"	"LMCO"	"MIXE-ZOQUE"	"Mexico"	"p,t,k,ʔ,b,d,ɡ,i,ɨ,u,ts,e,o,dz,a,h,m,n,ŋ,w,j,"	"f,s,ʃ,z,ʒ,l,ɾ,r,"	"Wichmann, Søren (1995) The Relationship Among the Mixe-Zoquean Languages of Mexico. Salt Lake City: University of Utah Press."
"Mixe, Lowland (Guichicovi variety)"	"LMGU"	"MIXE-ZOQUE"	"Mexico"	"p,t,k,ʔ,ts,i,ɨ,u,iː,ɨː,uː,iːː,ɨːː,uːː,ʃ,h,e,ə,o,eː,oː,eːː,oːː,m,n,a,aː,aːː,w,j,"		"Wichmann, Søren (1995) The Relationship Among the Mixe-Zoquean Languages of Mexico. Salt Lake City: University of Utah Press."
"Mixe, Lowland (San José El Paraíso variety)"	"LMSO"	"MIXE-ZOQUE"	"Mexico"	"p,t,k,ʔ,i,ɨ,u,ts,e,o,a,ʃ,h,m,n,ŋ,l,ɾ,r,w,j,"	"b,d,ɡ,dz,f,s,z,ʒ,"	"Wichmann, Søren (1995) The Relationship Among the Mixe-Zoquean Languages of Mexico. Salt Lake City: University of Utah Press."
"Mixe, Lowland (San Juan el Paraíso variety)"	"LMSU"	"MIXE-ZOQUE"	"Mexico"	"p,t,k,ʔ,b,d,ɡ,i,ɨ,u,ts,e,o,dz,a,h,m,n,ŋ,w,j,"	"f,s,ʃ,z,ʒ,l,ɾ,r,"	"Wichmann, Søren (1995) The Relationship Among the Mixe-Zoquean Languages of Mexico. Salt Lake City: University of Utah Press."
"Mixe, Midland"	"MMXX"	"MIXE-ZOQUE"	"Mexico"	"p,t,c,k,ʔ,ʃ,h,i,ɨ,u,m,n,e,o,w,j,æ,a,"		"Wichmann, Søren (1995) The Relationship Among the Mixe-Zoquean Languages of Mexico. Salt Lake City: University of Utah Press."
"Mixe, Midland (Atitlán variety)"	"MMAT"	"MIXE-ZOQUE"	"Mexico"	"p,t,c,k,ʔ,ʃ,h,i,ɨ,u,m,n,e,o,w,j,æ,a,"		"Wichmann, Søren (1995) The Relationship Among the Mixe-Zoquean Languages of Mexico. Salt Lake City: University of Utah Press."
"Mixe, Midland (Cacalotepec variety)"	"MMCA"	"MIXE-ZOQUE"	"Mexico"	"p,t,c,k,ʔ,ʃ,h,i,ɨ,u,m,n,e,o,w,j,æ,a,"		"Wichmann, Søren (1995) The Relationship Among the Mixe-Zoquean Languages of Mexico. Salt Lake City: University of Utah Press."
"Mixe, Midland (Cotzocón variety)"	"MMCO"	"MIXE-ZOQUE"	"Mexico"	"p,t,c,k,ʔ,ʃ,h,i,ɨ,u,m,n,e,o,w,j,æ,a,"		"Wichmann, Søren (1995) The Relationship Among the Mixe-Zoquean Languages of Mexico. Salt Lake City: University of Utah Press."
"Mixe, Midland (Jaltepec variety)"	"MMJA"	"MIXE-ZOQUE"	"Mexico"	"p,t,c,k,ʔ,ʃ,h,i,ɨ,u,m,n,e,o,w,j,æ,a,"		"Wichmann, Søren (1995) The Relationship Among the Mixe-Zoquean Languages of Mexico. Salt Lake City: University of Utah Press."
"Mixe, Midland (Juquila variety)"	"MMJU"	"MIXE-ZOQUE"	"Mexico"	"p,t,c,k,ʔ,ʃ,h,i,ɨ,u,m,n,e,o,w,j,æ,a,"		"Wichmann, Søren (1995) The Relationship Among the Mixe-Zoquean Languages of Mexico. Salt Lake City: University of Utah Press."
"Mixe, Midland (Matamoros variety)"	"MMMA"	"MIXE-ZOQUE"	"Mexico"	"p,t,c,k,ʔ,ʃ,h,i,ɨ,u,m,n,e,o,w,j,æ,a,"		"Wichmann, Søren (1995) The Relationship Among the Mixe-Zoquean Languages of Mexico. Salt Lake City: University of Utah Press."
"Mixe, Midland (Muxmetacán variety)"	"MMMU"	"MIXE-ZOQUE"	"Mexico"	"p,t,c,k,ʔ,ʃ,h,i,ɨ,u,m,n,e,o,w,j,æ,a,"		"Wichmann, Søren (1995) The Relationship Among the Mixe-Zoquean Languages of Mexico. Salt Lake City: University of Utah Press."
"Mixe, Midland (Puxmetacán variety)"	"MMPU"	"MIXE-ZOQUE"	"Mexico"	"p,t,c,k,ʔ,ʃ,h,i,ɨ,u,m,n,e,o,w,j,æ,a,"		"Wichmann, Søren (1995) The Relationship Among the Mixe-Zoquean Languages of Mexico. Salt Lake City: University of Utah Press."
"Mixe, North Highland (Totontepec Mixe)"	"NHMI"	"MIXE-ZOQUE"	"Mexico"	"p,t,c,k,ʔ,d,ɡ,i,ɨ,u,ts,e,ʌ,ʊ,s,ʃ,h,æ,a,o,v,ʒ,m,n,j,"		"Wichmann, Søren (1995) The Relationship Among the Mixe-Zoquean Languages of Mexico. Salt Lake City: University of Utah Press."
"Mixe, South Highland (Mixistlán variety)"	"SMMX"	"MIXE-ZOQUE"	"Mexico"	"p,t,c,k,ʔ,ʃ,h,i,ɨ,u,m,n,e,o,æ,ɑ,w,j,"	"s,r,l,"	"Wichmann, Søren (1995) The Relationship Among the Mixe-Zoquean Languages of Mexico. Salt Lake City: University of Utah Press."
"Mixe, South Highland (Tepantlali variety)"	"SMTA"	"MIXE-ZOQUE"	"Mexico"	"p,t,c,k,ʔ,ʃ,h,i,ɨ,u,m,n,e,o,æ,a,w,j,"	"s,r,l,"	"Wichmann, Søren (1995) The Relationship Among the Mixe-Zoquean Languages of Mexico. Salt Lake City: University of Utah Press."
"Mixe, South Highland (Tepuxtepec variety)"	"SMTU"	"MIXE-ZOQUE"	"Mexico"	"p,t,c,k,ʔ,ʃ,h,i,ɨ,u,m,n,e,o,a,w,j,"	"s,r,l,"	"Wichmann, Søren (1995) The Relationship Among the Mixe-Zoquean Languages of Mexico. Salt Lake City: University of Utah Press."
"Mixe, South Highland (Tlahuitoltepec variety)"	"SMTL"	"MIXE-ZOQUE"	"Mexico"	"p,t,c,k,ʔ,ʃ,h,i,ɨ,u,m,n,e,ʊ,a,o,w,j,"	"s,r,l,"	"Wichmann, Søren (1995) The Relationship Among the Mixe-Zoquean Languages of Mexico. Salt Lake City: University of Utah Press."
"Mofu"	"MOFU"	"AFRO-ASIATIC (Chadic)"	"Cameroon"	"p,t,k,kʷ,b,d,ɡ,ɡʷ,ɓ,ɗ,i,u,b,ⁿd,ɡ,ɡʷ,e,o,ts,ə,dz,a,ⁿdz,f,s,v,z,ⁿz,ɬ,ɮ,m,n,ŋ,l,r,w,j,h,hʷ,ʔ,"		"Rossing, Melvin Olaf (1978) Mafa-Mada. Ann Arbor: UMI."
"Mohawk"	"MOHA"	"IROQUOIAN"	"Canada and USA"	"t,k,ʔ,s,h,i,ũ,n,e,ʌ̃,o,r,a,w,j,"		"Michelson, Karin Eva (1983) A Comparative Study of Accent in the Five nations Iroquoian Languages. Ann Arbor: UMI."
"Mojave (Mohave)"	"MOJA"	"HOKAN"	"USA"	"p,t̪,ʈ,tʃ,kʲ,k,kʷ,q,qʷ,ʔ,iː,i,uː,u,θ,s,ʃ,h,hʷ,eː,e,ə,oː,o,v,ð,aː,a,m,n,ɳ,nʲ,l,lʲ,r,w,j,"		"Munro, Pamela (1976) Mojave Syntax. New York: Garland Publishing, Inc."
"Mokilese"	"MOKI"	"AUSTRONESIAN"	"Micronesia"	"p,pʷ,t,c,k,i,u,s,e,o,m,mʷ,n,ŋ,ɛ,ɔ,l,a,r,"		"Harrison, Sheldon P. (1976) Mokilese Reference Grammar. Honolulu: The University Press of Hawaii"
"Moloko (Melokwo)"	"MOLO"	"AFRO-ASIATIC (Chadic)"	"Cameroon"	"p,t,k,kʷ,b,d,ɡ,ɡʷ,ɓ,ɗ,i,u,b,ⁿd,ɡ,e,ø,o,ts,ə,dz,a,f,s,v,z,ɬ,ɮ,m,n,ŋ,l,r,w,j,h,hʷ,"		"Rossing, Melvin Olaf (1978) Mafa-Mada. Ann Arbor: UMI."
"Mongolian (Halh Mongolian)"	"MONG"	"ALTAIC"	"Mongolia"	"t̪ʰ,b,d̪,ɡ,i,ʉ,ɨ,u,t̪s̪,tʃʰ,e,ɵ,a,o,d̪z̪,dʒ,s,ʃ,x,β,m,n̪,l,r,"	"p,f,"	"Bosson, James E. (1964) Modern Mongolian: A Primer and Reader. Bloomington/The Hague: Mouton & Co./Indiana University."
"Montagnais"	"MONT"	"ALGIC"	"Canada"	"p,t,tʃ,k,iː,uː,i,u,ʃ,h,eː,m,n,aː,a,"		"Cyr, Danielle (1996) Montagnais: an Ethnogrammatical Description. In Maurais (1996)"
"Montagnais (some areas)"	"MONS"	"ALGIC"	"Canada"	"p,t,tʃ,k,iː,uː,i,u,ʃ,h,eː,m,n,aː,a,"		"Cyr, Danielle (1996) Montagnais: an Ethnogrammatical Description. In Maurais (1996)"
"Muktile (Matal)"	"MUKT"	"AFRO-ASIATIC (Chadic)"	"Cameroon"	"p,t,c,k,kʷ,b,d,ɟ,ɡ,ɡʷ,ɓ,ɗ,i,u,ts,o,dz,ə,f,s,ɕ,a,v,z,ʑ,ɬ,ɮ,m,n,ŋ,l,r,w,j,h,hʷ,"		"Rossing, Melvin Olaf (1978) Mafa-Mada. Ann Arbor: UMI."
"Mumuye (Zing dialect)"	"MUMU"	"NIGER-CONGO"	"Nigeria"	"p,t,k,k͡p,b,d,ɡ,ɡ͡b,i,u,ɓ,o,f,s,ʃ,ɛ,ɔ,v,z,ʒ,a,m,n,ɲ,r,ĩ,ũ,l,ɛ̃,õ,j,w,h,ã,"		"Shimizu, Kiyoshi (1983) Zing Dialect of Mumuye: A Descriptive Grammar. Hamburg: Helmut Buske Verlag. "
"Muna"	"MUNA"	"AUSTRONESIAN"	"Indonesia"	"p,t,k,b,d̪,d,ɡ,p,ⁿt,k,i,u,b,ⁿd,ɡ,ɛ,ɔ,ɓ,a,f,s,h,ʁ,ⁿs,m,n,ŋ,r,l,w,"		"Berg, René van den (1989) A grammar of the Muna language. Dordrecht: Foris."
"Mundari"	"MUND"	"AUSTRO-ASIATIC"	"India"	"p,t,ʈ,tʃ,k,i,u,b,d,ɖ,dʒ,ɡ,iʔi,uʔu,s,h,e,o,m,n,ɳ,ɲ,ŋ,eʔe,oʔo,l,a,r,ɽ,aʔa,w,j,"		"Cook, S.J., Rev. Walter Anthony (1974). Structure of the Mundari Language. Ann Arbor: Xerox University Microfilms."
"Mupun"	"MUPU"	"AFRO-ASIATIC (Chadic)"	"Nigeria"	"p,t,tʃ,k,b,d,dʒ,ɡ,i,u,ɓ,ɗ,e,o,f,s,h,a,v,z,m,n,ŋ,iː,uː,l,eː,oː,r,aː,w,j,"		"Frajzyngier, Zygmunt (1993) A Grammar of Mupun. Berlin: Dietrich Reimer Verlag."
"Mupun (Jipari dialect)"	"MUPJ"	"AFRO-ASIATIC (Chadic)"	"Nigeria"	"p,t,tʃ,k,b,d,dʒ,ɡ,i,u,ɓ,ɗ,e,o,f,s,h,a,v,z,m,n,ŋ,iː,uː,l,eː,oː,r,aː,w,j,"		"Frajzyngier, Zygmunt (1993) A Grammar of Mupun. Berlin: Dietrich Reimer Verlag."
"Muruwari"	"MURU"	"AUSTRALIAN (Pama-Nyungan)"	"Australia"	"p,t̪,t,ʈ,c,k,m,n̪,n,ɳ,ɲ,ŋ,iː,uː,l,ɭ,i,u,r,aː,ɾ,a,w,ɻ,j,"		"Oates, Lynette F. (1988) The Muruwari Language. Canberra: Pacific Linguistics."
"Muyang"	"MUYA"	"AFRO-ASIATIC (Chadic)"	"Cameroon"	"p,t,c,k,kʷ,b,d,ɟ,ɡ,ɡʷ,ɓ,ɗ,i,ʉ,u,b,ⁿd,ɡ,e,o,ts,ə,dz,a,ⁿdz,f,s,ɕ,v,z,ʑ,ɬ,ɮ,m,n,ŋ,l,r,w,j,h,hʷ,"		"Rossing, Melvin Olaf (1978) Mafa-Mada. Ann Arbor: UMI."
"Mwera"	"MWER"	"NIGER-CONGO (Bantu)"	"Tanzania"	"pʼ,tʰ,tʃ,k,b,d,dʒ,ɡ,i,u,m,n,ɲ,ŋ,e,o,l,a,β,h,j,w,"		"Harries, Rev. Lyndon (1950) A Grammar of Mwera. Johannesburg: Witwatersrand University Press."
"Nagamese (Naga Pidgin)"	"NAGA"	"CREOLE"	"India"	"pʰ,tʰ,kʰ,p,t,k,i,u,bʰ,dʰ,ɡʰ,e,o,b,d,ɡ,ɔ,s,ʃ,h,aː,z,m,n,ŋ,l,r,w,j,"		"Boruah, B. K. (1993) Nagamese: The Language of Nagaland. New Delhi: Mittal Publications."
"Nahual, Michoacán (Michoacán Nahuatl)"	"MICN"	"UTO-AZTECAN"	"Mexico"	"p,t,k,kʷ,ʔ,i,u,ts,tʃ,e,o,s,ʃ,h,a,m,n,l,ʍ,j̥,w,j,"	"b,d,ɡ,ɲ,r,"	"Sischo, William R. (1979) Michoacán Nahauatl. In Langacker (1979)."
"Nahuatl, Huasteca"	"HUAS"	"UTO-AZTECAN"	"Mexico"	"p,t,k,kʷ,ʔ,ɡ,i,ts,tʃ,tɬ,e,o,s,ʃ,a,m,n,l,iː,ʍ,h,eː,oː,w,j,aː,"		"Beller, Richard, and Patricia Beller (1979) Huastaca Nahauatl. In Langacker, Ronald W. (ed.) (1979) Studies in Uto-Aztecan Grammar. Arlington: The Summer Institute of Linguistics and The University of Texas at Arlington."
"Nahuatl, North Puebla"	"NPUE"	"UTO-AZTECAN"	"Mexico"	"p,t,k,kʷ,ʔ,ts,tɬ,tʃ,i,o,s,ʃ,e,a,m,n,l,w,j,"		"Brockway, Earl (1979) North Puebla Nahauatl. In Langacker (1979)."
"Nahuatl, Tetelcingo"	"TETE"	"UTO-AZTECAN"	"Mexico"	"p,t,k,kʷ,i,u,ts,tɬ,tʃ,ɪ,o,s,ʃ,ie,ɔ,m,n,e,a,l,r,w,j,h,"	"b,d,ɡ,f,ɾ,"	"Tuggy, David H. (1979) Tetelcingo Nahauatl. In Langacker, Ronald W. (ed.) (1979) Studies in Uto-Aztecan Grammar. Arlington: The Summer Institute of Linguistics and The University of Texas at Arlington."
"Nalik"	"NALI"	"AUSTRONESIAN"	"Papua New Guinea"	"p,t,k,b,d,ɡ,i,u,s,e,o,β,v,z,a,ɒ,m,n,ŋ,l,ai,oi,au,r,ei,ou,w,j,"		"Volker, Craig (1998) The Nalik Language of New Ireland, Papua New Guinea. New York: Peter Lang Publishing."
"Nangikurrunggurr/Ngankikuringkurr"	"NANG"	"AUSTRALIAN"	"Australia"	"p,t,c,k,b,d,ɡ,ɸ,ʂ,ʃ,i,u,m,n,ɲ,ŋ,e,a,l,ʎ,r,ɾ,w,j,"		"Hoddinott, W. G., and F. M. Kofod (1988) The Ngankikurungkurr Language. Canberra: Pacific Linguistics."
